"Your order is confirmed","तपाईंको अर्डर पुष्टि भयो"
"Your order #${number} is confirmed.","तपाईंको अर्डर #${number} पुष्टि भयो।"
"Order #${number}","अर्डर #${number}"
"Shipping to","यहाँ पठाइँदै"
"View your order","आफ्नो अर्डर हेर्नुहोस्"
"Start shopping","किनमेल सुरु गर्नुहोस्"
"Your order is on the way","तपाईंको अर्डर बाटोमा छ"
"Your order #${number} is on the way.","तपाईंको अर्डर #${number} बाटोमा छ।"
"Items in this shipment","यस ढुवानीमा भएका वस्तुहरू"
"We'll send tracking details as soon as the carrier scans the package.","वाहकले प्याकेज स्क्यान गरेपछि हामी तुरुन्तै ट्र्याकिङ विवरण पठाउनेछौं।"
"Tracking","ट्र्याकिङ"
"Track shipment","ढुवानी ट्र्याक गर्नुहोस्"
"Your order was delivered","तपाईंको अर्डर डेलिभर भयो"
"Your order #${number} has been delivered.","तपाईंको अर्डर #${number} डेलिभर भयो।"
"Delivered items","डेलिभर भएका वस्तुहरू"
"We hope it's everything you expected. If anything's not right, just reply to this email.","हामी आशा गर्छौं यो तपाईंले अपेक्षा गरेजस्तै छ। यदि केही ठीक छैन भने, यो इमेलमा जवाफ दिनुहोस्।"
"Your order has been refunded","तपाईंको अर्डरको रकम फिर्ता गरियो"
"A refund has been issued","रिफन्ड जारी गरियो"
"A refund has been issued for your order","तपाईंको अर्डरका लागि रिफन्ड जारी गरियो"
"A refund of ${amount} was issued for order #${number}.","अर्डर #${number} का लागि ${amount} रिफन्ड जारी गरियो।"
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","हामीले ${amount} तपाईंको मूल भुक्तानी विधिमा फिर्ता गर्‍यौं। तपाईंको बैंकअनुसार, यो तपाईंको स्टेटमेन्टमा देखिन केही कार्य दिन लाग्न सक्छ।"
"Your order has been canceled","तपाईंको अर्डर रद्द गरियो"
"Order #${number} has been canceled.","अर्डर #${number} रद्द गरियो।"
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","यो अर्डर रद्द गरियो। यदि कुनै भुक्तानी अधिकृत गरिएको थियो भने, त्यो जारी गरिएको छ र तपाईंलाई शुल्क लाग्ने छैन।"
"Reason: ${reason}.","कारण: ${reason}।"
"Order total","अर्डर जम्मा"
"Order number","अर्डर नम्बर"
"Welcome, ${name}.","स्वागत छ, ${name}।"
"Welcome to ${store}.","${store} मा स्वागत छ।"
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","${store} मा खाता बनाउनुभएकोमा धन्यवाद। तपाईंको कार्ट, अर्डरहरू र सुरक्षित गरिएका ठेगानाहरू अब एकै ठाउँमा छन्।"
"Reset your ${store} password.","आफ्नो ${store} खाताको पासवर्ड रिसेट गर्नुहोस्।"
"We received a request to reset the password for your ${store} account. Choose a new one below.","तपाईंको ${store} खाताको पासवर्ड रिसेट गर्ने अनुरोध हामीले प्राप्त गर्‍यौं। तल नयाँ छान्नुहोस्।"
"If you didn't request this, you can safely ignore this email — your password won't change.","यदि तपाईंले यो अनुरोध गर्नुभएको छैन भने, यो इमेललाई बेवास्ता गर्न सक्नुहुन्छ — तपाईंको पासवर्ड परिवर्तन हुनेछैन।"
"Visit store","पसल हेर्नुहोस्"
"Help","सहायता"
