A short description shown on the category page,कोटि पृष्ठमा देखाइने छोटो विवरण
A short summary shown in listings,सूचीहरूमा देखाइने छोटो सारांश
Add a meta description to control the text shown here.,यहाँ देखाइने पाठ नियन्त्रण गर्न मेटा विवरण थप्नुहोस्।
All,सबै
All categories,सबै कोटिहरू
Applies to posts in this category.,यस कोटिका पोस्टहरूमा लागू हुन्छ।
Approve,स्वीकृत गर्नुहोस्
Approved,स्वीकृत
Author,लेखक
Blog,ब्लग
Blog Categories,ब्लग कोटिहरू
Blog Comments,ब्लग टिप्पणीहरू
Blog Posts,ब्लग पोस्टहरू
Blog Tags,ब्लग ट्यागहरू
By,द्वारा
Cancel reply,जवाफ रद्द गर्नुहोस्
"Category, author, tags and thumbnail.","कोटि, लेखक, ट्याग र थम्बनेल।"
Closed — no new comments,बन्द — कुनै नयाँ टिप्पणी छैन
Columns (1-4),स्तम्भहरू (1-4)
Comment,टिप्पणी
Comment Policy,टिप्पणी नीति
Comments,टिप्पणीहरू
Configure URL key and meta information for this blog category.,यस ब्लग कोटिका लागि URL कुञ्जी र मेटा जानकारी कन्फिगर गर्नुहोस्।
Copied!,प्रतिलिपि भयो!
Copy link,लिङ्क प्रतिलिपि गर्नुहोस्
Create a new post,नयाँ पोस्ट सिर्जना गर्नुहोस्
Create a new tag,नयाँ ट्याग सिर्जना गर्नुहोस्
Delete ${count} comments,${count} टिप्पणी मेट्नुहोस्
Delete ${count} posts,${count} पोस्ट मेट्नुहोस्
Delete ${count} tags,${count} ट्याग मेट्नुहोस्
Disable ${count} categories,${count} कोटि निष्क्रिय पार्नुहोस्
Email (not published),इमेल (प्रकाशित गरिँदैन)
Enable ${count} categories,${count} कोटि सक्रिय पार्नुहोस्
Enter category name,कोटिको नाम प्रविष्ट गर्नुहोस्
Enter post title,पोस्टको शीर्षक प्रविष्ट गर्नुहोस्
Enter tag name,ट्यागको नाम प्रविष्ट गर्नुहोस्
Excerpt,अंश
Featured posts,विशेष पोस्टहरू
Leave a comment,टिप्पणी छोड्नुहोस्
Leave blank to auto-generate,स्वतः उत्पन्न गर्न खाली छोड्नुहोस्
Mark spam,स्प्याम चिन्ह लगाउनुहोस्
Max posts,अधिकतम पोस्ट
Moderated — hold for review,नियन्त्रित — समीक्षाका लागि रोकिएको
Name and status for this blog category.,यस ब्लग कोटिको नाम र स्थिति।
New post,नयाँ पोस्ट
New tag,नयाँ ट्याग
No comments yet. Be the first!,अहिलेसम्म कुनै टिप्पणी छैन। पहिलो बन्नुहोस्!
No posts in this category yet.,यस कोटिमा अहिलेसम्म कुनै पोस्ट छैन।
No posts match,कुनै मिल्दो पोस्ट छैन
No posts published yet.,अहिलेसम्म कुनै पोस्ट प्रकाशित गरिएको छैन।
No posts with this tag yet.,यस ट्यागसहितको अहिलेसम्म कुनै पोस्ट छैन।
No posts yet,अहिलेसम्म कुनै पोस्ट छैन
Open page in a new tab,पृष्ठ नयाँ ट्याबमा खोल्नुहोस्
Open — auto-approve,खुला — स्वतः स्वीकृति
Organize,व्यवस्थित गर्नुहोस्
Pending,विचाराधीन
Post Title,पोस्ट शीर्षक
Post comment,टिप्पणी पोस्ट गर्नुहोस्
Post created successfully!,पोस्ट सफलतापूर्वक सिर्जना भयो!
Post title is required,पोस्ट शीर्षक आवश्यक छ
Posts,पोस्टहरू
Publish ${count} posts,${count} पोस्ट प्रकाशित गर्नुहोस्
Published,प्रकाशित
Published posts are visible on the storefront.,प्रकाशित पोस्टहरू स्टोरफ्रन्टमा देखिन्छन्।
React,प्रतिक्रिया
Related posts,सम्बन्धित पोस्टहरू
Reply,जवाफ दिनुहोस्
Reply to ${name},${name} लाई जवाफ दिनुहोस्
Search Engine Optimization,खोज इन्जिन अनुकूलन
Search posts to feature,विशेष बनाउन पोस्ट खोज्नुहोस्
Search result preview,खोज नतिजा पूर्वावलोकन
Select a category,कोटि छान्नुहोस्
Select an author,लेखक छान्नुहोस्
Select tags,ट्यागहरू छान्नुहोस्
Short Description,छोटो विवरण
Something went wrong. Please try again.,केही गडबड भयो। कृपया फेरि प्रयास गर्नुहोस्।
Spam,स्प्याम
Submitting…,पठाउँदै…
Tag,ट्याग
Tag Name,ट्यागको नाम
Tag created successfully!,ट्याग सफलतापूर्वक सिर्जना भयो!
Tag name is required,ट्यागको नाम आवश्यक छ
Tags,ट्यागहरू
Thanks! Your comment is awaiting moderation.,धन्यवाद! तपाईंको टिप्पणी मध्यस्थताको प्रतीक्षामा छ।
The URL path segment under /blog/.,/blog/ अन्तर्गतको URL पथ खण्ड।
The URL path segment under /blog/category/.,/blog/category/ अन्तर्गतको URL पथ खण्ड।
The URL path segment under /blog/tag/.,/blog/tag/ अन्तर्गतको URL पथ खण्ड।
"The post title, status and content.","पोस्टको शीर्षक, स्थिति र सामग्री।"
The tag name.,ट्यागको नाम।
There is no comment to display,देखाउन कुनै टिप्पणी छैन
There is no post to display,देखाउन कुनै पोस्ट छैन
There is no tag to display,देखाउन कुनै ट्याग छैन
URL key is auto-generated from the name if left blank.,खाली छोडेमा URL कुञ्जी नामबाट स्वतः उत्पन्न हुन्छ।
URL key is auto-generated from the title if left blank.,खाली छोडेमा URL कुञ्जी शीर्षकबाट स्वतः उत्पन्न हुन्छ।
Unpublish,अप्रकाशित गर्नुहोस्
Unpublish ${count} posts,${count} पोस्ट अप्रकाशित गर्नुहोस्
Untitled page,शीर्षकविहीन पृष्ठ
Your comment,तपाईंको टिप्पणी
min read,मिनेट पढाइ
