Welcome Back!,欢迎回来！
Please sign in to your account ,请登录您的账户 
Join us for exclusive offers and order tracking,加入我们，享受专属优惠和订单追踪
Sign Up,注册
Signing Up...,正在注册……
Signing In...,正在登录……
Recent Orders,最近订单
Address Book,地址簿
You have no addresses saved,您尚未保存任何地址
Add new address,添加新地址
Address 2,地址 2
Set as default,设为默认
Save,保存
Edit,编辑
Delete,删除
Edit Address,编辑地址
Product Filters,商品筛选
No products found,未找到商品
${count} Products,${count} 件商品
Default,默认
Name,名称
Contact Information,联系信息
Your Cart,您的购物车
Your cart is empty,您的购物车是空的
Subtotal,小计
View Cart (${totalQty}),查看购物车 (${totalQty})
Shopping Cart,购物车
Logged in as,登录身份
Payment Information,付款信息
Same as shipping address,与收货地址相同
Use a different billing address,使用不同的账单地址
Pick a payment method,选择付款方式
Select a payment method,选择付款方式
Complete Order,完成订单
Add to Cart,加入购物车
Search,搜索
${count} orders,${count} 个订单
${field} is required,${field} 为必填项
${pct}% of orders cancelled,${pct}% 的订单已取消
${pct}% of orders completed,${pct}% 的订单已完成
${qty} sold,已售 ${qty}
${total} lifetime sale,累计销售额 ${total}
(Guest Checkout),（访客结账）
(list),（列表）
(optional),（可选）
A coupon is already applied,已应用一张优惠券
A group needs at least one sub-field,一个分组至少需要一个子字段
A list of best selling products,畅销商品列表
A list of customers who have placed the most orders,下单最多的客户列表
A regular expression the value must match.,值必须匹配的正则表达式。
Accepted values,接受的值
Active,启用
Active Filters,已启用筛选
Add address API not available,添加地址 API 不可用
Add custom field,添加自定义字段
Add field,添加字段
Add item,添加项目
Add option,添加选项
Add product,添加商品
Add some items to get started,添加一些商品即可开始
Add sub-field,添加子字段
Adding...,正在添加……
Address has been deleted successfully!,地址已成功删除！
Address has been saved successfully!,地址已成功保存！
Address has been updated successfully!,地址已成功更新！
Address is required,地址为必填项
Adds target=_blank rel=noopener noreferrer.,添加 target=_blank rel=noopener noreferrer。
All items fulfilled,所有商品已履行
All orders,所有订单
All your past orders,您的所有历史订单
Allow multiple,允许多选
An unexpected error occurred. Please try again.,发生意外错误。请重试。
Apply Filters,应用筛选
Are you sure you want to mark the selected orders as shipped?,确定要将所选订单标记为已发货吗？
Are you sure?,确定吗？
