"Add a store email","Legg til butikk-e-post"
"Consent","Samtykke"
"Consent text","Samtykketekst"
"Contact messages","Kontaktmeldinger"
"Customer","Kunde"
"Delete ${count} messages","Slett ${count} meldinger"
"Fields","Felter"
"From","Fra"
"How can we help?","Hvordan kan vi hjelpe?"
"I agree that my details may be used to respond to my enquiry.","Jeg samtykker i at opplysningene mine kan brukes til å svare på henvendelsen min."
"Inbox","Innboks"
"Mark read","Merk som lest"
"Mark unread","Merk som ulest"
"Message","Melding"
"Message is required","Melding er påkrevd"
"Messages are sent to ${email} and saved under CMS → Contact messages.","Meldinger sendes til ${email} og lagres under CMS → Kontaktmeldinger."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","Meldinger blir fortsatt lagret og synlige under CMS → Kontaktmeldinger, men ingen varsel-e-post sendes."
"New contact form message","Ny melding fra kontaktskjemaet"
"New contact form message from ${name}","Ny melding fra kontaktskjemaet fra ${name}"
"New message from ${name} via your contact form.","Ny melding fra ${name} via kontaktskjemaet ditt."
"Not emailed","Ikke sendt på e-post"
"Optional supporting copy.","Valgfri støttetekst."
"Please accept before sending","Godta før du sender"
"Read","Lest"
"Reply directly to this email to respond to ${name}.","Svar direkte på denne e-posten for å nå ${name}."
"Send message","Send melding"
"Show consent checkbox","Vis samtykkeavkrysning"
"Show phone field","Vis telefonfelt"
"Show subject field","Vis emnefelt"
"Shown after the message is sent.","Vises etter at meldingen er sendt."
"Someone sent a message through the contact form on your store.","Noen sendte en melding via kontaktskjemaet i butikken din."
"Store email is not set","Butikkens e-post er ikke angitt"
"Subheading","Underoverskrift"
"Subject","Emne"
"Submit","Send"
"Success message","Bekreftelsesmelding"
"Thanks! Your message has been sent.","Takk! Meldingen din er sendt."
"There is no message to display","Det finnes ingen melding å vise"
"Titles","Overskrifter"
"Unread","Ulest"
"View customer account","Vis kundekonto"
"What is this about?","Hva gjelder det?"
"Your name","Navnet ditt"
"Your phone number","Telefonnummeret ditt"
"e.g. Get in touch","f.eks. Ta kontakt"
"e.g. I agree that my details may be used to respond to my enquiry.","f.eks. Jeg samtykker i at opplysningene mine kan brukes til å svare på henvendelsen min."
"e.g. Send message","f.eks. Send melding"
"e.g. Thanks! Your message has been sent.","f.eks. Takk! Meldingen din er sendt."
"e.g. We usually reply within one business day.","f.eks. Vi svarer vanligvis innen én virkedag."
"you@example.com","deg@eksempel.no"
