"Blog category","博客分类"
"Blog post","博客文章"
"Blog tag","博客标签"
"Build in page builder","在页面构建器中构建"
"Change edit scope","更改编辑范围"
"Control when this landing page is published. Leave empty for no limit.","控制此落地页的发布时间。留空则不限制。"
"Create a new landing page","创建新的落地页"
"Current link: ${url}","当前链接：${url}"
"Delete ${count} landing pages","删除 ${count} 个落地页"
"Disable ${count} landing pages","禁用 ${count} 个落地页"
"Editing","编辑中"
"Enable ${count} landing pages","启用 ${count} 个落地页"
"Enable this landing page to make it visible on the storefront.","启用此落地页，使其显示在店铺前台。"
"Enter landing page name","输入落地页名称"
"Landing Pages","落地页"
"Landing page","落地页"
"Landing page created successfully!","落地页创建成功!"
"Loading pages…","正在加载页面…"
"New Landing Page","新建落地页"
"No ${kind}s match ""${query}"".","没有与 ""${query}"" 匹配的 ${kind}s。"
"No ${kind}s yet.","还没有 ${kind}s。"
"No categories match ""${query}"".","没有与 ""${query}"" 匹配的分类。"
"No categories yet.","还没有分类。"
"No collections match ""${query}"".","没有与 ""${query}"" 匹配的系列。"
"No collections yet.","还没有系列。"
"No landing pages match ""${query}"".","没有与 ""${query}"" 匹配的落地页。"
"No landing pages yet.","还没有落地页。"
"No pages found.","未找到页面。"
"No pages match ""${query}"".","没有与 ""${query}"" 匹配的页面。"
"No pages yet.","还没有页面。"
"No products match ""${query}"".","没有与 ""${query}"" 匹配的商品。"
"No products yet.","还没有商品。"
Paste a URL or a relative path starting with ,粘贴 URL 或以此开头的相对路径： 
"Pick a CMS page to link to.","选择要链接到的 CMS 页面。"
"Pick a blog ${kind} to link to.","选择要链接到的博客 ${kind}。"
"Pick a category to link to.","选择要链接到的分类。"
"Pick a collection.","选择一个系列。"
"Pick a landing page to link to.","选择要链接到的落地页。"
"Pick a product to link to.","选择要链接到的商品。"
"Provide the SEO details for the landing page.","提供该落地页的 SEO 详细信息。"
"Provide the basic information for the landing page.","提供该落地页的基本信息。"
"Publish end","发布结束"
"Publish start","发布开始"
"Schedule","排期"
"The internal name of the landing page shown in the admin panel.","在管理面板中显示的落地页内部名称。"
"There is no landing page to display","没有可显示的落地页"
"This is the URL path for the landing page.","这是该落地页的 URL 路径。"
"This page","本页面"
"Duplicating ${name}","正在复制 ${name}"
"The duplicate is created from the last saved version of this product. Your unsaved edits will not be included and will be lost when you leave this page.","副本基于此商品最近保存的版本创建。您未保存的更改不会包含在内，离开此页面后将丢失。"
"Continue without saving","不保存并继续"
"You are creating a copy of ${name}","您正在创建 ${name} 的副本"
"The copy is created as a standalone product — it does not join the source's variant group. Add it from the copy's edit page if needed.","副本将作为独立商品创建 — 不会加入源商品的变体组。如有需要，请在副本的编辑页面中添加。"
"Nothing is duplicated yet — hit Save to complete the duplication. Leaving this page without saving discards the copy.","尚未完成复制 — 点击保存以完成复制。若不保存就离开此页面，副本将被丢弃。"
"Replace homepage with this page","用此页面替换首页"
"The homepage will show the widgets of ""${name}"".","首页将显示“${name}”的组件。"
"Checking the homepage…","正在检查首页…"
"Something changed since the preview. Please review again.","预览后有内容发生了变化，请重新确认。"
"These rollout plans change the homepage. Cancel them or wait until they end, then try again.","这些发布计划会更改首页。请先取消它们或等待其结束，然后重试。"
"The homepage has page-specific widget placements. Remove them in the page builder first.","首页存在针对特定页面的组件放置。请先在页面构建器中移除。"
"active","进行中"
"upcoming","即将开始"
"The current homepage widgets will be moved to a new disabled landing page named ""${name}"". You can restore it later with this same action.","当前首页的组件将被移动到一个新的已停用落地页“${name}”。之后可以用同样的操作恢复。"
"${count} unpublished homepage change(s) by you will be discarded.","您有 ${count} 处未发布的首页更改将被丢弃。"
"${count} unpublished homepage change(s) by ${admins} other admin(s) will be discarded.","${admins} 位其他管理员的 ${count} 处未发布的首页更改将被丢弃。"
"${count} change(s) left over from cancelled rollout plans will be discarded.","已取消的发布计划遗留的 ${count} 处更改将被丢弃。"
"${count} ended rollout plan(s) that changed the homepage will be cancelled so they cannot be re-scheduled.","${count} 个曾更改首页的已结束发布计划将被取消，以免被重新排期。"
"This landing page is not live (unpublished, scheduled, or expired). The homepage does not use its schedule; the copy goes live as soon as you confirm.","此落地页当前未上线（未发布、已排期或已过期）。首页不使用其排期；确认后副本将立即上线。"
"This landing page has ${count} unpublished change(s) in the page builder. Only published content is copied. Publish it first if the editor canvas is what you want.","此落地页在页面构建器中有 ${count} 处未发布的更改。只会复制已发布的内容。如需编辑器中的效果，请先发布。"
"A rollout plan is changing this landing page. Only its published content is copied.","一个发布计划正在更改此落地页。只会复制其已发布的内容。"
"${count} widget(s) shown on every landing page are not part of this page and will not be copied.","在所有落地页上显示的 ${count} 个组件不属于此页面，不会被复制。"
"${count} hidden widget(s) in this page's ""content"" area will not be copied.","此页面“content”区域中的 ${count} 个隐藏组件不会被复制。"
"${count} link(s) in this page point at the page itself. They will still point there from the homepage.","此页面中有 ${count} 个链接指向页面自身。从首页访问时它们仍会指向该页。"
"This landing page has no visible widgets in the current theme. The homepage will be empty.","此落地页在当前主题中没有可见组件。首页将为空。"
"${count} site-wide widget(s) sit in the homepage content area and will appear mixed into the copied layout.","首页内容区域中有 ${count} 个全站组件，它们将与复制的布局混合显示。"
"Done. ""${name}"" is still published at its own URL. You now have ${count} homepage backup(s).","完成。“${name}”仍在其自身网址发布。您现在有 ${count} 个首页备份。"
"View backup","查看备份"
"Open homepage in page builder","在页面构建器中打开首页"
Close,关闭
Cancel,取消
"Replace homepage","替换首页"
"Could not check the homepage.","无法检查首页。"
"The homepage could not be replaced.","无法替换首页。"
"Include unpublished pages","包含未发布的页面"
"This widget is also placed on ${count} specific page(s), managed in the page builder. Those placements are not listed here and are not changed when you save.","此组件还被放置在 ${count} 个特定页面上，由页面构建器管理。这些放置不会在此列出，保存时也不会更改。"
Blog Home,博客首页
All posts,所有文章
"Only http(s), mailto, tel or relative links are allowed — this link will be ignored on the storefront.",仅允许 http(s)、mailto、tel 或相对链接 — 此链接将在店面中被忽略。
Link target,链接目标
"Where the ""View all"" link goes — a category, page, or custom URL. Collections have no page of their own, so leave this empty to hide the link.",“查看全部”链接的目标 — 分类、页面或自定义网址。合集没有独立页面，留空即可隐藏该链接。
"Optional. Defaults to ""View all N →"".",可选。默认为“查看全部 N →”。
Whole country,整个国家/地区
${count} selected,已选择 ${count} 项
Select provinces,选择省份
Used below 640 px. Falls back to the main image.,在 640 px 以下使用。缺省时回退到主图。
mobile,移动端
Webhook ID,Webhook ID
"The ID of a webhook created in the PayPal developer dashboard, pointing at /api/paypal/webhook. Enables server-side payment confirmation.",在 PayPal 开发者控制台中创建、指向 /api/paypal/webhook 的 Webhook ID。启用服务器端付款确认。
System Setting,系统设置
File storage and service credentials,文件存储与服务凭据
Pricing & Tax,定价与税费
"Price rounding, tax calculation, classes & rates",价格取整、税费计算、税类与税率
Social sharing preview,社交分享预览
Account menu,账户菜单
Grid columns.,网格列数。
Product listing and image settings,商品列表与图片设置
Edit variant,编辑变体
Sold,已售
Not collected (zero-total order),未收集（订单总额为零）
All landing pages,所有着陆页
System setting saved,系统设置已保存
All ${attribute},所有${attribute}
${count} of ${total},${total} 中的 ${count}
No variants match the selected options.,没有与所选选项匹配的变体。
This product has no other variants yet.,此商品尚无其他变体。
Optional. Shown under the row heading.,可选。显示在该行标题下方。
