Welcome Back!,மீண்டும் வரவேற்கிறோம்!
Please sign in to your account ,உங்கள் கணக்கில் உள்நுழையவும் 
Join us for exclusive offers and order tracking,சிறப்பு சலுகைகள் மற்றும் ஆர்டர் கண்காணிப்புக்கு எங்களுடன் இணையுங்கள்
Sign Up,பதிவு செய்க
Signing Up...,பதிவு செய்கிறது...
Signing In...,உள்நுழைகிறது...
Recent Orders,சமீபத்திய ஆர்டர்கள்
Address Book,முகவரிப் புத்தகம்
You have no addresses saved,நீங்கள் எந்த முகவரியையும் சேமிக்கவில்லை
Add new address,புதிய முகவரியைச் சேர்க்கவும்
Address 2,முகவரி 2
Set as default,இயல்புநிலையாக அமைக்கவும்
Save,சேமி
Edit,திருத்து
Delete,நீக்கு
Edit Address,முகவரியைத் திருத்து
Product Filters,தயாரிப்பு வடிப்பான்கள்
No products found,தயாரிப்புகள் எதுவும் இல்லை
${count} Products,${count} தயாரிப்புகள்
Default,இயல்புநிலை
Name,பெயர்
Discount(${coupon}),தள்ளுபடி(${coupon})
${count} items,${count} பொருட்கள்
"Sorry, there is no available method for your address","மன்னிக்கவும், உங்கள் முகவரிக்கு கிடைக்கக்கூடிய முறை எதுவும் இல்லை"
Thank you ${name}!,நன்றி ${name}!
Contact Information,தொடர்பு தகவல்
Order #${orderNumber},ஆர்டர் #${orderNumber}
VIEW CART (${count}),கார்ட்டைப் பார்க்க (${count})
Your Cart,உங்கள் கார்ட்
Your cart is empty,உங்கள் கார்ட் காலியாக உள்ளது
Subtotal,துணை மொத்தம்
View Cart (${totalQty}),கார்ட்டைப் பார்க்க (${totalQty})
Shopping Cart,ஷாப்பிங் கார்ட்
Logged in as,இவராக உள்நுழைந்துள்ளீர்
Payment Information,கட்டண தகவல்
Same as shipping address,ஷிப்பிங் முகவரியைப் போலவே
Use a different billing address,வேறு பில்லிங் முகவரியைப் பயன்படுத்தவும்
Pick a payment method,கட்டண முறையைத் தேர்ந்தெடுக்கவும்
Select a payment method,கட்டண முறையைத் தேர்வு செய்யவும்
Complete Order,ஆர்டரை முடிக்கவும்
Add to Cart,கார்ட்டில் சேர்க்கவும்
Search,தேடு
${count} orders,${count} ஆர்டர்கள்
${field} is required,${field} தேவை
${pct}% of orders cancelled,${pct}% ஆர்டர்கள் ரத்து செய்யப்பட்டன
${pct}% of orders completed,${pct}% ஆர்டர்கள் முடிக்கப்பட்டன
${qty} sold,${qty} விற்பனையானது
${total} lifetime sale,${total} வாழ்நாள் விற்பனை
(Guest Checkout),(விருந்தினர் செக்அவுட்)
(list),(பட்டியல்)
(optional),(விருப்பத்தேர்வு)
A coupon is already applied,ஒரு கூப்பன் ஏற்கனவே பயன்படுத்தப்பட்டுள்ளது
A group needs at least one sub-field,ஒரு குழுவிற்கு குறைந்தது ஒரு துணை-புலம் தேவை
A list of best selling products,அதிகம் விற்பனையாகும் தயாரிப்புகளின் பட்டியல்
A list of customers who have placed the most orders,அதிக ஆர்டர்களை வழங்கிய வாடிக்கையாளர்களின் பட்டியல்
A regular expression the value must match.,மதிப்பு பொருந்த வேண்டிய ரெகுலர் எக்ஸ்பிரஷன்.
Accepted values,ஏற்றுக்கொள்ளப்பட்ட மதிப்புகள்
Active,செயலில்
Active Filters,செயலில் உள்ள வடிப்பான்கள்
Add address API not available,முகவரி சேர்க்கும் API கிடைக்கவில்லை
Add custom field,தனிப்பயன் புலத்தைச் சேர்க்கவும்
Add field,புலத்தைச் சேர்க்கவும்
Add item,பொருளைச் சேர்க்கவும்
Add option,விருப்பத்தைச் சேர்க்கவும்
Add product,தயாரிப்பைச் சேர்க்கவும்
Add some items to get started,தொடங்க சில பொருட்களைச் சேர்க்கவும்
Add sub-field,துணை-புலத்தைச் சேர்க்கவும்
Adding...,சேர்க்கிறது...
Address has been deleted successfully!,முகவரி வெற்றிகரமாக நீக்கப்பட்டது!
Address has been saved successfully!,முகவரி வெற்றிகரமாக சேமிக்கப்பட்டது!
Address has been updated successfully!,முகவரி வெற்றிகரமாக புதுப்பிக்கப்பட்டது!
Adds target=_blank rel=noopener noreferrer.,target=_blank rel=noopener noreferrer சேர்க்கிறது.
All items fulfilled,அனைத்து பொருட்களும் நிறைவேற்றப்பட்டன
All orders,அனைத்து ஆர்டர்கள்
All your past orders,உங்கள் கடந்தகால ஆர்டர்கள் அனைத்தும்
Allow multiple,பலவற்றை அனுமதி
An unexpected error occurred. Please try again.,எதிர்பாராத பிழை ஏற்பட்டது. மீண்டும் முயற்சிக்கவும்.
Apply Filters,வடிப்பான்களைப் பயன்படுத்து
Are you sure you want to mark the selected orders as shipped?,தேர்ந்தெடுக்கப்பட்ட ஆர்டர்களை அனுப்பப்பட்டதாகக் குறிக்க விரும்புகிறீர்களா?
Are you sure?,உறுதியாக உள்ளீர்களா?
Attribute Group,பண்புக்கூறு குழு
Attribute code is used in API and must be unique,பண்புக்கூறு குறியீடு API-ல் பயன்படுத்தப்படுகிறது மற்றும் தனித்துவமாக இருக்க வேண்டும்
Attribute options,பண்புக்கூறு விருப்பங்கள்
Attributes,பண்புக்கூறுகள்
Available shipping methods will appear once you provide your address details,உங்கள் முகவரி விவரங்களை வழங்கியதும் கிடைக்கக்கூடிய ஷிப்பிங் முறைகள் தோன்றும்
Best Sellers,அதிக விற்பனையாளர்கள்
Best customers,சிறந்த வாடிக்கையாளர்கள்
Billing address,பில்லிங் முகவரி
Black,கருப்பு
Buy qty,வாங்கும் அளவு
Buy qty is required,வாங்கும் அளவு தேவை
Can not process payment. Please try again later.,கட்டணத்தைச் செயலாக்க முடியவில்லை. பின்னர் மீண்டும் முயற்சிக்கவும்.
Can't be undone,செயல்தவிர்க்க முடியாது
Cancel,ரத்து செய்
Cancel Order,ஆர்டரை ரத்து செய்
Cancel shipment,ஷிப்மென்ட்டை ரத்து செய்
Cancel this shipment?,இந்த ஷிப்மென்ட்டை ரத்து செய்யவா?
Canceled,ரத்து செய்யப்பட்டது
Cancelled,ரத்து செய்யப்பட்டது
Cannot add billing address: cart not initialized,பில்லிங் முகவரியைச் சேர்க்க முடியவில்லை: கார்ட் தொடங்கப்படவில்லை
Cannot add contact info: cart not initialized,தொடர்பு தகவலைச் சேர்க்க முடியவில்லை: கார்ட் தொடங்கப்படவில்லை
Cannot add payment method: cart not initialized,கட்டண முறையைச் சேர்க்க முடியவில்லை: கார்ட் தொடங்கப்படவில்லை
Cannot add shipping address: cart not initialized,ஷிப்பிங் முகவரியைச் சேர்க்க முடியவில்லை: கார்ட் தொடங்கப்படவில்லை
Cannot add shipping method: cart not initialized,ஷிப்பிங் முறையைச் சேர்க்க முடியவில்லை: கார்ட் தொடங்கப்படவில்லை
Cannot add shipping method: providerCode is required,ஷிப்பிங் முறையைச் சேர்க்க முடியவில்லை: providerCode தேவை
