Total,Összesen
Order,Megrendelés
Sku,SKU
Continue to shipping,Tovább a szállításhoz
Continue shopping,Vásárlás folytatása
Continue Shopping,Vásárlás Folytatása
Shopping cart,Bevásárlókosár
Product,Termék
Price,Ár
Quantity,Mennyiség
Remove,Eltávolít
Qty,Menny.
Sub total,Részösszeg
Discount(${coupon}),Kedvezmény(${coupon})
Order summary,Megrendelés összesítő
Taxes and shipping calculated at checkout,Az ÁFA és a szállítási költség a fizetéskor kerül véglegesítésre
Checkout,Fizetés
Change,Módosít
Payment Method,Fizetési mód
Shipping Method,Szállítási mód
No payment methods available,Nincs elérhető fizetési mód
Place Order,Megrendelés feladása
My billing address is same as shipping address,A számlázási és a szállítási címem megeggyezik
${count} items,${count} tétel
Discount,Kedvezmény
Shipping,Szállítás
No tax,Nincs ÁFA
Tax,ÁFA
"Sorry, there is no available method for your address","Sajnáljuk, de a címedhez nincs elérhető szállítási mód"
Please enter a shipping address in order to see shipping quotes,A szállítási díj megjelenítéséhez kérjük add meg a szállítási címedet
Continue to payment,Tovább a fizetéshez
Ship to,Szállítási cím
Shipment,Szállítás
Thank you ${name}!,Köszönjük ${name}!
Add to cart,KOSÁRBA
Please select variant options,Válassz a lehetőségek közül!
VIEW CART (${count}),KOSÁR MEGTEKINTÉSE (${count})
JUST ADDED TO YOUR CART,HOZZÁADTUK A KOSARADHOZ!
Promotion code?,Van promóciós kódod?
Enter coupon code,Add meg a kuponkódodat!
Apply,Jóváhagy
Your cart is empty!,A bevásárlókosarad üres!
Inclusive of tax,ÁFA nélküli
Full name is required,Kérjük add meg a teljes nevedet!
Address is required,Kérjük add meg a címedet!
City is required,Kérjük add meg a várost!
Proceed to checkout,Tovább a fizetéshez
Your cart,Az Ön kosara
${count} items in your cart,${count} termék a kosarában
No payment required,Nincs szükség fizetésre
Your order total is 0 — no payment is needed to place this order.,A rendelés végösszege 0 — a megrendelés leadásához nincs szükség fizetésre.
Thank you for your order!,Köszönjük a rendelését!
Order #${orderNumber} is confirmed. We’ve emailed a receipt to ${email}.,A(z) ${orderNumber}. számú rendelés megerősítve. A visszaigazolást elküldtük a ${email} címre.
