"Your order is confirmed","Deine Bestellung ist bestätigt"
"Your order #${number} is confirmed.","Deine Bestellung #${number} ist bestätigt."
"Order #${number}","Bestellung #${number}"
"Shipping to","Versand an"
"View your order","Bestellung ansehen"
"Start shopping","Jetzt einkaufen"
"Your order is on the way","Deine Bestellung ist unterwegs"
"Your order #${number} is on the way.","Deine Bestellung #${number} ist unterwegs."
"Items in this shipment","Artikel in dieser Sendung"
"We'll send tracking details as soon as the carrier scans the package.","Wir senden dir die Sendungsverfolgung, sobald der Versanddienstleister das Paket gescannt hat."
"Tracking","Sendungsverfolgung"
"Track shipment","Sendung verfolgen"
"Your order was delivered","Deine Bestellung wurde zugestellt"
"Your order #${number} has been delivered.","Deine Bestellung #${number} wurde zugestellt."
"Delivered items","Zugestellte Artikel"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Wir hoffen, sie entspricht ganz deinen Erwartungen. Falls etwas nicht stimmt, antworte einfach auf diese E-Mail."
"Your order has been refunded","Deine Bestellung wurde erstattet"
"A refund has been issued","Eine Rückerstattung wurde veranlasst"
"A refund has been issued for your order","Für deine Bestellung wurde eine Rückerstattung veranlasst"
"A refund of ${amount} was issued for order #${number}.","Eine Rückerstattung von ${amount} wurde für Bestellung #${number} veranlasst."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Wir haben ${amount} auf dein ursprüngliches Zahlungsmittel erstattet. Je nach Bank kann es einige Werktage dauern, bis der Betrag auf deinem Kontoauszug erscheint."
"Your order has been canceled","Deine Bestellung wurde storniert"
"Order #${number} has been canceled.","Bestellung #${number} wurde storniert."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Diese Bestellung wurde storniert. Falls eine Zahlung autorisiert wurde, wurde sie freigegeben und dir wird nichts berechnet."
"Reason: ${reason}.","Grund: ${reason}."
"Order total","Bestellsumme"
"Order number","Bestellnummer"
"Welcome, ${name}.","Willkommen, ${name}."
"Welcome to ${store}.","Willkommen bei ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Danke, dass du ein Konto bei ${store} erstellt hast. Dein Warenkorb, deine Bestellungen und gespeicherten Adressen sind jetzt an einem Ort."
"Reset your ${store} password.","Setze das Passwort deines ${store}-Kontos zurück."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Wir haben eine Anfrage zum Zurücksetzen des Passworts deines ${store}-Kontos erhalten. Wähle unten ein neues."
"If you didn't request this, you can safely ignore this email — your password won't change.","Falls du das nicht angefordert hast, kannst du diese E-Mail ignorieren — dein Passwort bleibt unverändert."
"Visit store","Zum Shop"
"Help","Hilfe"
