Total, Ukupno
Order, Porudžbina
Sku, SKU
Continue to shipping, Nastavi na isporuku
Continue shopping, Nastavi kupovinu
Continue Shopping, Nastavi kupovinu
CONTINUE SHOPPING, NASTAVI KUPOVINU
Shopping cart, Korpa
Product, Proizvod
Price, Cena
Quantity, Količina
Remove, Ukloni
Qty, Kom
Sub total, Subtotal
Discount(${coupon}), Popust (${coupon})
Order summary, Pregled porudžbine
Taxes and shipping calculated at checkout, Porezi i isporuka se računaju prilikom plaćanja
CHECKOUT, PLAĆANJE
Change, Promeni
Payment Method, Način plaćanja
Shipping Method, Način isporuke
No payment methods available, Nema dostupnih metoda plaćanja
Place Order, Završi porudžbinu
My billing address is the same as the shipping address, Moja adresa za naplatu je ista kao adresa za isporuku
${count} items, ${count} artikala
Discount, Popust
Shipping, Isporuka
No tax, Bez poreza
Tax, Porez
Sorry, Izvinjavamo se
Please enter a shipping address in order to see shipping quotes, Unesite adresu za isporuku da biste videli troškove isporuke
Continue to payment, Nastavi na plaćanje
No payment method available, Nema dostupnih metoda plaćanja
Ship to, Isporuka na
Shipment, Isporuka
Thank you ${name}!, Hvala, ${name}!
Contact information, Kontakt informacije
Order #${orderNumber}, Porudžbina br. ${orderNumber}
ADD TO CART, DODAJ U KORPU
Please select variant options, Izaberite varijantu proizvoda
VIEW CART (${count}), POGLEDAJ KORPU (${count})
JUST ADDED TO YOUR CART, DODATO U KORPU
Promotion code?, Imate promo kod?
Enter coupon code, Unesite kod kupona
Apply, Primeni
Your cart is empty!, Vaša korpa je prazna!
Inclusive of tax ${taxAmount}, Uključujući ${taxAmount} poreza.
