Welcome Back!,¡Bienvenido de nuevo!
Please sign in to your account ,Inicia sesión en tu cuenta 
Join us for exclusive offers and order tracking,Únete para acceder a ofertas exclusivas y seguimiento de pedidos
Sign Up,Registrarse
Signing Up...,Registrando...
Signing In...,Iniciando sesión...
Recent Orders,Pedidos recientes
Address Book,Libreta de direcciones
You have no addresses saved,No tienes direcciones guardadas
Add new address,Añadir nueva dirección
Address 2,Dirección 2
Set as default,Establecer como predeterminada
Save,Guardar
Edit,Editar
Delete,Eliminar
Edit Address,Editar dirección
Product Filters,Filtros de productos
No products found,No se encontraron productos
${count} Products,${count} productos
Default,Predeterminado
Name,Nombre
Discount(${coupon}),Descuento(${coupon})
${count} items,${count} artículos
Thank you ${name}!,¡Gracias ${name}!
Contact Information,Información de contacto
Order #${orderNumber},Pedido n.º ${orderNumber}
VIEW CART (${count}),VER CARRITO (${count})
Your Cart,Tu carrito
Your cart is empty,Tu carrito está vacío
Subtotal,Subtotal
View Cart (${totalQty}),Ver carrito (${totalQty})
Shopping Cart,Carrito de compras
Logged in as,Sesión iniciada como
Payment Information,Información de pago
Same as shipping address,Igual que la dirección de envío
Use a different billing address,Usar una dirección de facturación diferente
Pick a payment method,Elige un método de pago
Select a payment method,Selecciona un método de pago
Complete Order,Completar pedido
Add to Cart,Añadir al carrito
Search,Buscar
${count} orders,${count} pedidos
${field} is required,${field} es obligatorio
${pct}% of orders cancelled,${pct}% de pedidos cancelados
${pct}% of orders completed,${pct}% de pedidos completados
${qty} sold,${qty} vendidos
${total} lifetime sale,${total} en ventas totales
(Guest Checkout),(Compra como invitado)
(list),(lista)
(optional),(opcional)
A coupon is already applied,Ya hay un cupón aplicado
A group needs at least one sub-field,Un grupo necesita al menos un subcampo
A list of best selling products,Una lista de los productos más vendidos
A list of customers who have placed the most orders,Una lista de los clientes que han realizado más pedidos
A regular expression the value must match.,Una expresión regular que el valor debe cumplir.
Accepted values,Valores aceptados
Active,Activo
Active Filters,Filtros activos
Add address API not available,La API para añadir dirección no está disponible
Add custom field,Añadir campo personalizado
Add field,Añadir campo
Add item,Añadir artículo
Add option,Añadir opción
Add product,Añadir producto
Add some items to get started,Añade algunos artículos para empezar
Add sub-field,Añadir subcampo
Adding...,Añadiendo...
Address has been deleted successfully!,¡La dirección se ha eliminado correctamente!
Address has been saved successfully!,¡La dirección se ha guardado correctamente!
Address has been updated successfully!,¡La dirección se ha actualizado correctamente!
Adds target=_blank rel=noopener noreferrer.,Añade target=_blank rel=noopener noreferrer.
All items fulfilled,Todos los artículos preparados
All orders,Todos los pedidos
All your past orders,Todos tus pedidos anteriores
