Welcome Back!,Добро дошли назад!
Please sign in to your account ,Пријавите се на свој налог 
Join us for exclusive offers and order tracking,Придружите нам се за ексклузивне понуде и праћење поруџбина
Sign Up,Региструј се
Signing Up...,Регистровање...
Signing In...,Пријављивање...
Recent Orders,Недавне поруџбине
Address Book,Адресар
You have no addresses saved,Немате сачуваних адреса
Add new address,Додај нову адресу
Address 2,Адреса 2
Set as default,Постави као подразумевано
Save,Сачувај
Edit,Измени
Delete,Обриши
Edit Address,Измени адресу
Featured collection,Истакнута колекција
Product Filters,Филтери производа
No products found,Нема пронађених производа
${count} Products,${count} производа
Default,Подразумевано
Name,Име
My billing address is same as shipping address,Моја адреса за наплату је иста као адреса за испоруку
"Sorry, there is no available method for your address","Жао нам је, нема доступног начина за вашу адресу"
Contact Information,Контакт подаци
Your Cart,Ваша корпа
Your cart is empty,Ваша корпа је празна
Subtotal,Међузбир
View Cart (${totalQty}),Прикажи корпу (${totalQty})
Shopping Cart,Корпа за куповину
Logged in as,Пријављени као
Payment Information,Подаци о плаћању
Same as shipping address,Исто као адреса за испоруку
Use a different billing address,Користи другу адресу за наплату
Pick a payment method,Изаберите начин плаћања
Select a payment method,Изаберите начин плаћања
Complete Order,Заврши поруџбину
Add to Cart,Додај у корпу
Search,Претрага
${count} orders,${count} поруџбина
${field} is required,${field} је обавезно
${pct}% of orders cancelled,${pct}% поруџбина отказано
${pct}% of orders completed,${pct}% поруџбина завршено
${qty} sold,${qty} продато
${total} lifetime sale,${total} укупна продаја
(Guest Checkout),(Куповина као гост)
(list),(листа)
(optional),(опционо)
A coupon is already applied,Купон је већ примењен
A group needs at least one sub-field,Група мора имати бар једно под-поље
A list of best selling products,Листа најпродаванијих производа
A list of customers who have placed the most orders,Листа купаца који су направили највише поруџбина
A regular expression the value must match.,Регуларни израз коме вредност мора одговарати.
Accepted values,Прихваћене вредности
Active,Активно
Active Filters,Активни филтери
Add address API not available,API за додавање адресе није доступан
Add custom field,Додај прилагођено поље
Add field,Додај поље
Add item,Додај ставку
Add option,Додај опцију
Add product,Додај производ
Add some items to get started,Додајте неке ставке да бисте почели
Add sub-field,Додај под-поље
Adding...,Додавање...
Address has been deleted successfully!,Адреса је успешно обрисана!
Address has been saved successfully!,Адреса је успешно сачувана!
Address has been updated successfully!,Адреса је успешно ажурирана!
Address is required,Адреса је обавезна
Adds target=_blank rel=noopener noreferrer.,Додаје target=_blank rel=noopener noreferrer.
All items fulfilled,Све ставке испуњене
All orders,Све поруџбине
All your past orders,Све ваше претходне поруџбине
Allow multiple,Дозволи више
An unexpected error occurred. Please try again.,Дошло је до неочекиване грешке. Покушајте поново.
Apply Filters,Примени филтере
Are you sure you want to mark the selected orders as shipped?,Да ли сте сигурни да желите да означите изабране поруџбине као послате?
Are you sure?,Да ли сте сигурни?
Attribute Group,Група атрибута
Attribute code is used in API and must be unique,Код атрибута се користи у API-ју и мора бити јединствен
Attribute options,Опције атрибута
Attributes,Атрибути
Available shipping methods will appear once you provide your address details,Доступни начини испоруке ће се појавити када унесете податке о адреси
Best Sellers,Најпродаванији
Best customers,Најбољи купци
Billing address,Адреса за наплату
Black,Црна
Buy qty,Количина куповине
