Login, Login
Logout, Logout
Email, E-mail
Password, Password
Forgot your password?, Zaboravili ste lozinku?
Create an account, Napravite nalog
Register, Registrujte se
Full Name, Ime i prezime
Full name, Ime i prezime
SIGN IN, Prijavite se
Order History, Istorija porudžbina
Account Details, Detalji naloga
You have not placed any orders yet, Još niste obavili nijednu porudžbinu
My Account, Moj nalog
Already have an account?, Već imate nalog?
Contact information, Kontakt informacije
City, Grad
Account Information, Podaci o nalogu
Address, Adresa
Postcode, Poštanski broj
Postcode is required, Poštanski broj je obavezan
Telephone is required, Telefon je obavezan
Telephone, Telefon
Full name is required, Ime i prezime su obavezni
Country is required, Država je obavezna
Country, Država
Province is required, Pokrajina je obavezna
Province, Pokrajina
Billing Address, Adresa za naplatu
Shipping Address, Adresa za isporuku
Create A New Account, Napravite novi nalog
Contact, Kontakt
Customer information, Podaci o kupcu
