Total, Totalt
Order, Bestilling
Sku, SKU
Continue to shipping, Fortsett til frakt
Continue shopping, Fortsett å handle
Continue Shopping, Fortsett å handle
CONTINUE SHOPPING, FORTSETT Å HANDLE
Shopping cart, Handlekurv
Product, Produkt
Price, Pris
Quantity, Antall
Remove, Fjern
Qty, Antall
Sub total, Delsum
Discount(${coupon}), Rabatt(${coupon})
Order summary, Ordresammendrag
Taxes and shipping calculated at checkout, Skatter og frakt beregnes ved kassen
CHECKOUT, Til kassen
Change, Endre
Payment Method, Betalingsmåte
Shipping Method, Fraktmetode
No payment methods available, Ingen betalingsmetoder tilgjengelig
Place Order, Legg inn bestilling
My billing address is same as shipping address, Fakturaadressen er den samme som leveringsadressen
${count} items, ${count} varer
Discount, Rabatt
Shipping, Frakt
No tax, Ingen skatt
Tax, Skatt
Sorry, there is no available method for your address, Beklager, det finnes ingen tilgjengelig metode for din adresse
Please enter a shipping address in order to see shipping quotes, Vennligst oppgi en leveringsadresse for å se fraktpriser
Continue to payment, Fortsett til betaling
No payment method available, Ingen betalingsmetode tilgjengelig
Ship to, Send til
Shipment, Forsendelse
Thank you ${name}!, Takk, ${name}!
Contact information, Kontaktinformasjon
Order #${orderNumber}, Bestilling #${orderNumber}
ADD TO CART, LEGG TIL I HANDLEKURVEN
Please select variant options, Velg variantalternativer
VIEW CART (${count}), SE HANDLEKURV (${count})
JUST ADDED TO YOUR CART, NETTOPP LAGT TIL I HANDLEKURVEN
Promotion code?, Kampanjekode？
Enter coupon code, Skriv inn rabattkode
Apply, Bruk
Your cart is empty!, Handlekurven din er tom！
