Total,Gesamt
Order,Bestellung
Sku,SKU
Continue to shipping,Weiter zum Versand
Continue shopping,Weiter einkaufen
Continue Shopping,Weiter Einkaufen
Shopping cart,Einkaufswagen
Product,Produkt
Price,Preis
Quantity,Menge
Remove,Entfernen
Qty,Menge
Sub total,Zwischensumme
Discount(${coupon}),Rabatt(${coupon})
Order summary,Bestellübersicht
Taxes and shipping calculated at checkout,Steuern und Versandkosten werden beim Bezahlen berechnet
Checkout,ZUR KASSE
Change,Ändern
Payment Method,Zahlungsmethode
Shipping Method,Versandmethode
No payment methods available,Keine Zahlungsmethoden verfügbar
Place Order,Bestellung aufgeben
My billing address is same as shipping address,Mein Rechnungsadresse ist gleich wie die Versandadresse
${count} items,${count} Artikel
Discount,Rabatt
Shipping,Versand
No tax,Keine Steuern
Tax,Steuer
"Sorry, there is no available method for your address","Entschuldigung, es gibt keine verfügbare Methode für Ihre Adresse"
Please enter a shipping address in order to see shipping quotes,"Bitte geben Sie eine Versandadresse ein, um Versandkosten zu sehen"
Continue to payment,Weiter zur Zahlung
No payment method available,Keine Zahlungsmethode verfügbar
Ship to,Versenden an
Shipment,Versand
Thank you ${name}!,"Danke, ${name}!"
Add to cart,IN DEN WARENKORB
Please select variant options,Bitte wählen Sie Variantenoptionen
VIEW CART (${count}),WARENKORB ANZEIGEN (${count})
JUST ADDED TO YOUR CART,SOEBEN ZU IHREM WARENKORB HINZUGEFÜGT
Promotion code?,Aktionscode?
Enter coupon code,Gutscheincode eingeben
Apply,Anwenden
Your cart is empty!,Ihr Warenkorb ist leer!
Inclusive of tax,Enthaltene Steuern
Address is required,Bitte angeben
City is required,Bitte angeben
Proceed to checkout,Zur Kasse gehen
Your cart,Ihr Warenkorb
${count} items in your cart,${count} Artikel in Ihrem Warenkorb
No payment required,Keine Zahlung erforderlich
Your order total is 0 — no payment is needed to place this order.,Ihr Bestellwert beträgt 0 — für diese Bestellung ist keine Zahlung erforderlich.
Thank you for your order!,Vielen Dank für Ihre Bestellung!
Order #${orderNumber} is confirmed. We’ve emailed a receipt to ${email}.,Bestellung Nr. ${orderNumber} ist bestätigt. Wir haben eine Bestätigung an ${email} gesendet.
