"Add a store email","கடையின் மின்னஞ்சலைச் சேர்க்கவும்"
"Consent","ஒப்புதல்"
"Consent text","ஒப்புதல் உரை"
"Contact messages","தொடர்பு செய்திகள்"
"Customer","வாடிக்கையாளர்"
"Delete ${count} messages","${count} செய்திகளை நீக்கு"
"Fields","புலங்கள்"
"From","அனுப்புநர்"
"How can we help?","நாங்கள் எப்படி உதவ முடியும்?"
"I agree that my details may be used to respond to my enquiry.","என் விசாரணைக்கு பதிலளிக்க என் விவரங்கள் பயன்படுத்தப்படுவதற்கு நான் ஒப்புக்கொள்கிறேன்."
"Inbox","அஞ்சல் பெட்டி"
"Mark read","படித்ததாகக் குறி"
"Mark unread","படிக்காததாகக் குறி"
"Message","செய்தி"
"Message is required","செய்தி தேவை"
"Messages are sent to ${email} and saved under CMS → Contact messages.","செய்திகள் ${email} க்கு அனுப்பப்பட்டு CMS → தொடர்பு செய்திகள் பகுதியில் சேமிக்கப்படும்."
"Messages will still be saved and visible under CMS → Contact messages, but no notification email will be sent.","செய்திகள் இன்னும் சேமிக்கப்பட்டு CMS → தொடர்பு செய்திகள் பகுதியில் தெரியும், ஆனால் அறிவிப்பு மின்னஞ்சல் அனுப்பப்படாது."
"New contact form message","புதிய தொடர்பு படிவச் செய்தி"
"New contact form message from ${name}","${name} அவர்களிடமிருந்து புதிய தொடர்பு படிவச் செய்தி"
"New message from ${name} via your contact form.","உங்கள் தொடர்பு படிவம் வழியாக ${name} அவர்களிடமிருந்து புதிய செய்தி."
"Not emailed","மின்னஞ்சல் அனுப்பப்படவில்லை"
"Optional supporting copy.","விருப்பத் துணை உரை."
"Please accept before sending","அனுப்பும் முன் ஒப்புக்கொள்ளவும்"
"Read","படித்தது"
"Reply directly to this email to respond to ${name}.","${name} அவர்களுக்குப் பதிலளிக்க இந்த மின்னஞ்சலுக்கு நேரடியாகப் பதிலளிக்கவும்."
"Send message","செய்தி அனுப்பு"
"Show consent checkbox","ஒப்புதல் தேர்வுப்பெட்டியைக் காட்டு"
"Show phone field","தொலைபேசி புலத்தைக் காட்டு"
"Show subject field","பொருள் புலத்தைக் காட்டு"
"Shown after the message is sent.","செய்தி அனுப்பப்பட்ட பிறகு காட்டப்படும்."
"Someone sent a message through the contact form on your store.","உங்கள் கடையின் தொடர்பு படிவம் வழியாக யாரோ ஒரு செய்தி அனுப்பியுள்ளனர்."
"Store email is not set","கடையின் மின்னஞ்சல் அமைக்கப்படவில்லை"
"Subheading","துணைத் தலைப்பு"
"Subject","பொருள்"
"Submit","அனுப்பு"
"Success message","வெற்றிச் செய்தி"
"Thanks! Your message has been sent.","நன்றி! உங்கள் செய்தி அனுப்பப்பட்டது."
"There is no message to display","காட்ட செய்தி எதுவும் இல்லை"
"Titles","தலைப்புகள்"
"Unread","படிக்காதது"
"View customer account","வாடிக்கையாளர் கணக்கைக் காண்க"
"What is this about?","இது எதைப் பற்றியது?"
"Your name","உங்கள் பெயர்"
"Your phone number","உங்கள் தொலைபேசி எண்"
"e.g. Get in touch","எ.கா. எங்களைத் தொடர்பு கொள்ளுங்கள்"
"e.g. I agree that my details may be used to respond to my enquiry.","எ.கா. என் விசாரணைக்கு பதிலளிக்க என் விவரங்கள் பயன்படுத்தப்படுவதற்கு நான் ஒப்புக்கொள்கிறேன்."
"e.g. Send message","எ.கா. செய்தி அனுப்பு"
"e.g. Thanks! Your message has been sent.","எ.கா. நன்றி! உங்கள் செய்தி அனுப்பப்பட்டது."
"e.g. We usually reply within one business day.","எ.கா. நாங்கள் பொதுவாக ஒரு வேலை நாளுக்குள் பதிலளிப்போம்."
"you@example.com","you@example.com"
