A short description shown on the category page,"Eine kurze Beschreibung, die auf der Kategorieseite angezeigt wird"
A short summary shown in listings,"Eine kurze Zusammenfassung, die in Listen angezeigt wird"
Add a meta description to control the text shown here.,"Fügen Sie eine Meta-Beschreibung hinzu, um den hier angezeigten Text zu steuern."
All,Alle
All categories,Alle Kategorien
Applies to posts in this category.,Gilt für Beiträge in dieser Kategorie.
Approve,Genehmigen
Approved,Genehmigt
Author,Autor
Blog,Blog
Blog Categories,Blog-Kategorien
Blog Comments,Blog-Kommentare
Blog Posts,Blog-Beiträge
Blog Tags,Blog-Tags
By,Von
Cancel reply,Antwort abbrechen
"Category, author, tags and thumbnail.","Kategorie, Autor, Tags und Vorschaubild."
Closed — no new comments,Geschlossen — keine neuen Kommentare
Columns (1-4),Spalten (1-4)
Comment,Kommentar
Comment Policy,Kommentarrichtlinie
Comments,Kommentare
Configure URL key and meta information for this blog category.,Konfigurieren Sie URL-Schlüssel und Meta-Informationen für diese Blog-Kategorie.
Copied!,Kopiert!
Copy link,Link kopieren
Create a new post,Neuen Beitrag erstellen
Create a new tag,Neuen Tag erstellen
Delete ${count} comments,${count} Kommentare löschen
Delete ${count} posts,${count} Beiträge löschen
Delete ${count} tags,${count} Tags löschen
Disable ${count} categories,${count} Kategorien deaktivieren
Email (not published),E-Mail (nicht veröffentlicht)
Enable ${count} categories,${count} Kategorien aktivieren
Enter category name,Kategorienamen eingeben
Enter post title,Beitragstitel eingeben
Enter tag name,Tag-Namen eingeben
Excerpt,Auszug
Featured posts,Empfohlene Beiträge
Leave a comment,Einen Kommentar hinterlassen
Leave blank to auto-generate,Leer lassen zur automatischen Generierung
Mark spam,Als Spam markieren
Max posts,Max. Beiträge
Moderated — hold for review,Moderiert — zur Prüfung zurückhalten
Name and status for this blog category.,Name und Status für diese Blog-Kategorie.
New post,Neuer Beitrag
New tag,Neuer Tag
No comments yet. Be the first!,Noch keine Kommentare. Seien Sie der Erste!
No posts in this category yet.,Noch keine Beiträge in dieser Kategorie.
No posts match,Keine passenden Beiträge
No posts published yet.,Noch keine Beiträge veröffentlicht.
No posts with this tag yet.,Noch keine Beiträge mit diesem Tag.
No posts yet,Noch keine Beiträge
Open page in a new tab,Seite in neuem Tab öffnen
Open — auto-approve,Offen — automatisch genehmigen
Organize,Organisieren
Pending,Ausstehend
Post Title,Beitragstitel
Post comment,Kommentar absenden
Post created successfully!,Beitrag erfolgreich erstellt!
Post title is required,Beitragstitel ist erforderlich
Posts,Beiträge
Publish ${count} posts,${count} Beiträge veröffentlichen
Published,Veröffentlicht
Published posts are visible on the storefront.,Veröffentlichte Beiträge sind im Shop sichtbar.
React,Reagieren
Related posts,Ähnliche Beiträge
Reply,Antworten
Reply to ${name},Auf ${name} antworten
Search Engine Optimization,Suchmaschinenoptimierung
Search posts to feature,Beiträge zum Hervorheben suchen
Search result preview,Vorschau des Suchergebnisses
Select a category,Kategorie auswählen
Select an author,Autor auswählen
Select tags,Tags auswählen
Short Description,Kurzbeschreibung
Something went wrong. Please try again.,Etwas ist schiefgelaufen. Bitte versuchen Sie es erneut.
Spam,Spam
Submitting…,Wird gesendet…
Tag,Tag
Tag Name,Tag-Name
Tag created successfully!,Tag erfolgreich erstellt!
Tag name is required,Tag-Name ist erforderlich
Tags,Tags
Thanks! Your comment is awaiting moderation.,Danke! Ihr Kommentar wartet auf Moderation.
The URL path segment under /blog/.,Das URL-Pfadsegment unter /blog/.
The URL path segment under /blog/category/.,Das URL-Pfadsegment unter /blog/category/.
The URL path segment under /blog/tag/.,Das URL-Pfadsegment unter /blog/tag/.
"The post title, status and content.","Titel, Status und Inhalt des Beitrags."
The tag name.,Der Tag-Name.
There is no comment to display,Es gibt keinen Kommentar zum Anzeigen
There is no post to display,Es gibt keinen Beitrag zum Anzeigen
There is no tag to display,Es gibt keinen Tag zum Anzeigen
URL key is auto-generated from the name if left blank.,"URL-Schlüssel wird automatisch aus dem Namen generiert, wenn leer."
URL key is auto-generated from the title if left blank.,"URL-Schlüssel wird automatisch aus dem Titel generiert, wenn leer."
Unpublish,Veröffentlichung aufheben
Unpublish ${count} posts,Veröffentlichung von ${count} Beiträgen aufheben
Untitled page,Unbenannte Seite
Your comment,Ihr Kommentar
min read,Min. Lesezeit
