Total, Totaal
Order, Bestelling
Sku, SKU
Continue to shipping, Doorgaan naar verzenden
Continue shopping, Doorgaan met winkelen
Continue Shopping, Doorgaan met Winkelen
CONTINUE SHOPPING, DOORGAAN MET WINKELEN
Shopping cart, Winkelmandje
Product, Product
Price, Prijs
Quantity, Aantal
Remove, Verwijderen
Qty, Aantal
Sub total, Subtotaal
Discount(${coupon}), Korting(${coupon})
Order summary, Besteloverzicht
Taxes and shipping calculated at checkout, BTW en verzendkosten worden berekend bij betaling
CHECKOUT, Betalen
Change, Veranderen
Payment Method, Betaalmethode
Shipping Method, Verzendmethode
No payment methods available, Geen betaalmethodes beschikbaar
Place Order, Plaats Bestelling
My billing address is same as shipping address, Factuuradres is hetzelfde als het verzendadres
${count} items, ${count} producten
Discount, Korting
Shipping, Verzending
No tax, Geen BTW
Tax, BTW
Sorry, there is no available method for your address, Excuses, er is geen beschikbare methode voor uw adres
Please enter a shipping address in order to see shipping quotes, Voer een verzendadres in om verzendkosten te berekenen
Continue to payment, Doorgaan naar betaling
No payment method available, Geen betaalmethodes beschikbaar
Ship to, Verzenden naar
Shipment, Verzending
Thank you ${name}!, Bedankt, ${name}!
Contact information, Contactinformatie
Order #${orderNumber}, Bestelling #${orderNumber}
ADD TO CART, TOEVOEGEN AAN WINKELMANDJE
Please select variant options, Selecteer alstublieft opties
VIEW CART (${count}), WINKELMANDJE BEKIJKEN (${count})
JUST ADDED TO YOUR CART, TOEGEVOEGD AAN WINKELMANDJE
Promotion code?, Kortingscode？
Enter coupon code, Voer kortingscode in
Apply, Toepassen
Your cart is empty!, Uw winkelmandje is leeg！
