"Your order is confirmed","Đơn hàng của bạn đã được xác nhận"
"Your order #${number} is confirmed.","Đơn hàng #${number} của bạn đã được xác nhận."
"Order #${number}","Đơn hàng #${number}"
"Shipping to","Giao đến"
"View your order","Xem đơn hàng"
"Start shopping","Bắt đầu mua sắm"
"Your order is on the way","Đơn hàng của bạn đang trên đường giao"
"Your order #${number} is on the way.","Đơn hàng #${number} của bạn đang trên đường giao."
"Items in this shipment","Sản phẩm trong lô hàng này"
"We'll send tracking details as soon as the carrier scans the package.","Chúng tôi sẽ gửi thông tin theo dõi ngay khi đơn vị vận chuyển quét mã kiện hàng."
"Tracking","Theo dõi"
"Track shipment","Theo dõi lô hàng"
"Your order was delivered","Đơn hàng của bạn đã được giao"
"Your order #${number} has been delivered.","Đơn hàng #${number} của bạn đã được giao."
"Delivered items","Sản phẩm đã giao"
"We hope it's everything you expected. If anything's not right, just reply to this email.","Chúng tôi hy vọng đơn hàng đúng như bạn mong đợi. Nếu có gì chưa ổn, chỉ cần trả lời email này."
"Your order has been refunded","Đơn hàng của bạn đã được hoàn tiền"
"A refund has been issued","Đã thực hiện hoàn tiền"
"A refund has been issued for your order","Đã hoàn tiền cho đơn hàng của bạn"
"A refund of ${amount} was issued for order #${number}.","Đã hoàn ${amount} cho đơn hàng #${number}."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","Chúng tôi đã hoàn ${amount} về phương thức thanh toán ban đầu của bạn. Tùy theo ngân hàng, có thể mất vài ngày làm việc để khoản tiền hiển thị trên sao kê của bạn."
"Your order has been canceled","Đơn hàng của bạn đã bị hủy"
"Order #${number} has been canceled.","Đơn hàng #${number} đã bị hủy."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Đơn hàng này đã bị hủy. Nếu một khoản thanh toán đã được ủy quyền, khoản đó đã được giải phóng và bạn sẽ không bị tính phí."
"Reason: ${reason}.","Lý do: ${reason}."
"Order total","Tổng đơn hàng"
"Order number","Mã đơn hàng"
"Welcome, ${name}.","Chào mừng, ${name}."
"Welcome to ${store}.","Chào mừng đến với ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Cảm ơn bạn đã tạo tài khoản tại ${store}. Giỏ hàng, đơn hàng và địa chỉ đã lưu của bạn giờ đây đều ở cùng một nơi."
"Reset your ${store} password.","Đặt lại mật khẩu tài khoản ${store} của bạn."
"We received a request to reset the password for your ${store} account. Choose a new one below.","Chúng tôi nhận được yêu cầu đặt lại mật khẩu cho tài khoản ${store} của bạn. Hãy chọn mật khẩu mới bên dưới."
"If you didn't request this, you can safely ignore this email — your password won't change.","Nếu bạn không yêu cầu điều này, bạn có thể bỏ qua email này — mật khẩu của bạn sẽ không thay đổi."
"Visit store","Đến cửa hàng"
"Help","Trợ giúp"
