Login, Hyr
Logout, Dil
Email, E-maili
Password, Fjalëkalimi
Forgot your password?, Ke harruar fjalëkalimin？
Create an account, Hap një llogari
Register, Rregistrohu
Full Name, Emër dhe Mbiemër
Full name, Emër dhe Mbiemër
SIGN IN, HYR
Order History, Historia e posorive
Account Details, Imtësitë e llogarisë
You have not placed any orders yet, Nuk keni akoma kryer ndonjë porosi
My Account, Llogaria ime
Already have an account?, E ke një llogari？
Contact information, Informacione kontakti
City, Qyteti
Account Information, Informacione mbi llogarinë
Address, Adresa
Postcode, Kodi i postës
Postcode is required, Kodi i postës është fushë e detyrueshme
Telephone is required, Numri i telefonit është fushë e detyrueshme
Telephone, Telefoni
Full name is required, Emri dhe mbiemri jane fusha të detyrueshme
Country is required, Shteti ështe i detyrueshëm
Country, Shteti
Province is required, Rrethi është i detyrueshëm
Province, Rrethi
Billing Address, Adresa e faturimit
Shipping Address, Adresa e dërgimit
Create A New Account, Hap një llogari të re
Contact, Kontakti
Customer information, Informacione mbi klientin
