"Your order is confirmed","Je bestelling is bevestigd"
"Your order #${number} is confirmed.","Je bestelling #${number} is bevestigd."
"Order #${number}","Bestelling #${number}"
"Shipping to","Verzenden naar"
"View your order","Bekijk je bestelling"
"Start shopping","Begin met winkelen"
"Your order is on the way","Je bestelling is onderweg"
"Your order #${number} is on the way.","Je bestelling #${number} is onderweg."
"Items in this shipment","Artikelen in deze zending"
"We'll send tracking details as soon as the carrier scans the package.","We sturen je de trackinggegevens zodra de vervoerder het pakket scant."
"Tracking","Tracking"
"Track shipment","Zending volgen"
"Your order was delivered","Je bestelling is bezorgd"
"Your order #${number} has been delivered.","Je bestelling #${number} is bezorgd."
"Delivered items","Bezorgde artikelen"
"We hope it's everything you expected. If anything's not right, just reply to this email.","We hopen dat het alles is wat je ervan verwachtte. Klopt er iets niet, beantwoord dan gewoon deze e-mail."
"Your order has been refunded","Je bestelling is terugbetaald"
"A refund has been issued","Er is een terugbetaling gedaan"
"A refund has been issued for your order","Er is een terugbetaling gedaan voor je bestelling"
"A refund of ${amount} was issued for order #${number}.","Er is een terugbetaling van ${amount} gedaan voor bestelling #${number}."
"We've refunded ${amount} to your original payment method. Depending on your bank, it may take a few business days to appear on your statement.","We hebben ${amount} terugbetaald op je oorspronkelijke betaalmethode. Afhankelijk van je bank kan het enkele werkdagen duren voordat het op je afschrift verschijnt."
"Your order has been canceled","Je bestelling is geannuleerd"
"Order #${number} has been canceled.","Bestelling #${number} is geannuleerd."
"This order has been canceled. If a payment was authorized, it has been released and you will not be charged.","Deze bestelling is geannuleerd. Als er een betaling was geautoriseerd, is die vrijgegeven en worden er geen kosten in rekening gebracht."
"Reason: ${reason}.","Reden: ${reason}."
"Order total","Totaalbedrag"
"Order number","Bestelnummer"
"Welcome, ${name}.","Welkom, ${name}."
"Welcome to ${store}.","Welkom bij ${store}."
"Thanks for creating an account with ${store}. Your cart, orders, and saved addresses now live in one place.","Bedankt voor het aanmaken van een account bij ${store}. Je winkelwagen, bestellingen en opgeslagen adressen staan nu op één plek."
"Reset your ${store} password.","Stel het wachtwoord van je ${store}-account opnieuw in."
"We received a request to reset the password for your ${store} account. Choose a new one below.","We hebben een verzoek ontvangen om het wachtwoord van je ${store}-account opnieuw in te stellen. Kies hieronder een nieuw wachtwoord."
"If you didn't request this, you can safely ignore this email — your password won't change.","Heb je dit niet aangevraagd, dan kun je deze e-mail gerust negeren — je wachtwoord verandert niet."
"Visit store","Naar de winkel"
"Help","Help"
