Login, Увійти
Logout, Вийти
Email, Імейл
Password, Пароль
Forgot your password?, Забули пароль?
Create an account, Створити акаунт
Register, Зареєструватися
Full Name, Фамілія Ім'я
Full name, Фамілія ім'я
SIGN IN, УВІЙТИ
SIGN UP, ЗАРЕЄСТРУВАТИСЯ
Order History, Історія замовлень
Account Details, Параметри Акаунта
Account details, Параметри акаунта
You have not placed any orders yet, Ви ще нічого не замовили
My Account, Мій акаунт
Already have an account?, У вас вже є акаунт?
Contact information, Контактні дані
City, Місто
Account Information, Інформація про акаунт
Address, Адреса
Postcode, Поштовий індекс
Postcode is required, Поштовий індекс обов'язковий для заповнення
Telephone is required, Телефон обов'язковий для заповнення
Telephone, Телефон
Full name is required, Фамілія та Імя обов'язкові для заповнення
Country is required, Країна обов'язкова для заповнення
Country, Країна
Province is required, Область обов'язкова для заповнення
Province, Область
Billing Address, Платіжна адреса
Shipping Address, Адреса доставки
Create A New Account, Створити новий акаунт
Contact, Контакт
Customer information, Інформация про замовника
