A short description shown on the category page,வகைப் பக்கத்தில் காட்டப்படும் சுருக்கமான விளக்கம்
A short summary shown in listings,பட்டியல்களில் காட்டப்படும் சுருக்கமான சுருக்கம்
Add a meta description to control the text shown here.,இங்கே காட்டப்படும் உரையைக் கட்டுப்படுத்த ஒரு மெட்டா விளக்கத்தைச் சேர்க்கவும்.
All,அனைத்தும்
All categories,அனைத்து வகைகள்
Applies to posts in this category.,இந்த வகையில் உள்ள இடுகைகளுக்குப் பொருந்தும்.
Approve,அங்கீகரி
Approved,அங்கீகரிக்கப்பட்டது
Author,ஆசிரியர்
Blog,வலைப்பதிவு
Blog Categories,வலைப்பதிவு வகைகள்
Blog Comments,வலைப்பதிவு கருத்துகள்
Blog Posts,வலைப்பதிவு இடுகைகள்
Blog Tags,வலைப்பதிவு குறிச்சொற்கள்
By,மூலம்
Cancel reply,பதிலை ரத்து செய்
"Category, author, tags and thumbnail.","வகை, ஆசிரியர், குறிச்சொற்கள் மற்றும் சிறுபடம்."
Closed — no new comments,மூடப்பட்டது — புதிய கருத்துகள் இல்லை
Columns (1-4),நெடுவரிசைகள் (1-4)
Comment,கருத்து
Comment Policy,கருத்துக் கொள்கை
Comments,கருத்துகள்
Configure URL key and meta information for this blog category.,இந்த வலைப்பதிவு வகைக்கான URL விசை மற்றும் மெட்டா தகவலை அமைக்கவும்.
Copied!,நகலெடுக்கப்பட்டது!
Copy link,இணைப்பை நகலெடு
Create a new post,புதிய இடுகையை உருவாக்கு
Create a new tag,புதிய குறிச்சொல்லை உருவாக்கு
Delete ${count} comments,${count} கருத்துகளை நீக்கு
Delete ${count} posts,${count} இடுகைகளை நீக்கு
Delete ${count} tags,${count} குறிச்சொற்களை நீக்கு
Disable ${count} categories,${count} வகைகளை முடக்கு
Email (not published),மின்னஞ்சல் (வெளியிடப்படவில்லை)
Enable ${count} categories,${count} வகைகளை இயக்கு
Enter category name,வகையின் பெயரை உள்ளிடவும்
Enter post title,இடுகையின் தலைப்பை உள்ளிடவும்
Enter tag name,குறிச்சொல்லின் பெயரை உள்ளிடவும்
Excerpt,பகுதி
Featured posts,சிறப்பு இடுகைகள்
Leave a comment,ஒரு கருத்தை இடுங்கள்
Leave blank to auto-generate,தானாக உருவாக்க காலியாக விடவும்
Mark spam,ஸ்பேம் எனக் குறி
Max posts,அதிகபட்ச இடுகைகள்
Moderated — hold for review,மதிப்பாய்வு செய்யப்பட்டது — மதிப்பாய்வுக்கு வைக்கப்பட்டது
Name and status for this blog category.,இந்த வலைப்பதிவு வகையின் பெயர் மற்றும் நிலை.
New post,புதிய இடுகை
New tag,புதிய குறிச்சொல்
No comments yet. Be the first!,இன்னும் கருத்துகள் இல்லை. முதலில் இருங்கள்!
No posts in this category yet.,இந்த வகையில் இன்னும் இடுகைகள் இல்லை.
No posts match,பொருந்தும் இடுகைகள் இல்லை
No posts published yet.,இன்னும் இடுகைகள் வெளியிடப்படவில்லை.
No posts with this tag yet.,இந்தக் குறிச்சொல்லுடன் இன்னும் இடுகைகள் இல்லை.
No posts yet,இன்னும் இடுகைகள் இல்லை
Open page in a new tab,பக்கத்தைப் புதிய தாவலில் திற
Open — auto-approve,திறந்த — தானாக அங்கீகரி
Organize,ஒழுங்கமை
Pending,நிலுவையில்
Post Title,இடுகை தலைப்பு
Post comment,கருத்தை இடு
Post created successfully!,இடுகை வெற்றிகரமாக உருவாக்கப்பட்டது!
Post title is required,இடுகை தலைப்பு தேவை
Posts,இடுகைகள்
Publish ${count} posts,${count} இடுகைகளை வெளியிடு
Published,வெளியிடப்பட்டது
Published posts are visible on the storefront.,வெளியிடப்பட்ட இடுகைகள் கடையில் தெரியும்.
React,எதிர்வினையாற்று
Related posts,தொடர்புடைய இடுகைகள்
Reply,பதில்
Reply to ${name},${name} க்கு பதில்
Search Engine Optimization,தேடுபொறி தேம்பாக்கம்
Search posts to feature,சிறப்பிக்க இடுகைகளைத் தேடு
Search result preview,தேடல் முடிவு முன்னோட்டம்
Select a category,ஒரு வகையைத் தேர்ந்தெடுக்கவும்
Select an author,ஒரு ஆசிரியரைத் தேர்ந்தெடுக்கவும்
Select tags,குறிச்சொற்களைத் தேர்ந்தெடுக்கவும்
Short Description,சுருக்கமான விளக்கம்
Something went wrong. Please try again.,ஏதோ தவறு நடந்தது. மீண்டும் முயற்சிக்கவும்.
Spam,ஸ்பேம்
Submitting…,சமர்ப்பிக்கிறது…
Tag,குறிச்சொல்
Tag Name,குறிச்சொல் பெயர்
Tag created successfully!,குறிச்சொல் வெற்றிகரமாக உருவாக்கப்பட்டது!
Tag name is required,குறிச்சொல் பெயர் தேவை
Tags,குறிச்சொற்கள்
Thanks! Your comment is awaiting moderation.,நன்றி! உங்கள் கருத்து மதிப்பாய்வுக்காகக் காத்திருக்கிறது.
The URL path segment under /blog/.,/blog/ இன் கீழ் URL பாதைப் பகுதி.
The URL path segment under /blog/category/.,/blog/category/ இன் கீழ் URL பாதைப் பகுதி.
The URL path segment under /blog/tag/.,/blog/tag/ இன் கீழ் URL பாதைப் பகுதி.
"The post title, status and content.","இடுகையின் தலைப்பு, நிலை மற்றும் உள்ளடக்கம்."
The tag name.,குறிச்சொல்லின் பெயர்.
There is no comment to display,காட்ட கருத்து எதுவும் இல்லை
There is no post to display,காட்ட இடுகை எதுவும் இல்லை
There is no tag to display,காட்ட குறிச்சொல் எதுவும் இல்லை
URL key is auto-generated from the name if left blank.,காலியாக விட்டால் URL விசை பெயரிலிருந்து தானாக உருவாக்கப்படும்.
URL key is auto-generated from the title if left blank.,காலியாக விட்டால் URL விசை தலைப்பிலிருந்து தானாக உருவாக்கப்படும்.
Unpublish,வெளியீட்டை நீக்கு
Unpublish ${count} posts,${count} இடுகைகளின் வெளியீட்டை நீக்கு
Untitled page,தலைப்பில்லாத பக்கம்
Your comment,உங்கள் கருத்து
min read,நிமிட வாசிப்பு
